,index,title,specific_color,type2,specific_type,color,tipo_marca,stock,envios,ventas,satisfaction,tasa_mercado,interest,season,disponibilidad,marca,feature_name,feature_value,variant_id,nivel_prenda
1171,1172,Desflorence Pant cotton,white,Pant,pant,white,MAINSTREAM,0.2,1548.2,607.2,0.3780863227527703,0.013168885297495,0.1956276040251326,9,proximamente,MAINSTREAM,application,false,0fe8b3d6-5378-4260-b19f-85d7a2cd9c7e,Nivel 1
1182,1183,Dima Shirt basc ,blue_light,Shirt,shirt,blue,MAINSTREAM,9.0,242.0,88.0,0.3636363636363636,0.0020584357589418,0.2732418816670082,9,disponible,MAINSTREAM,composition,true,cdb44228-e1aa-4e3a-93f1-a1de845ab026,Nivel 2
1189,1190,Dita Dress sharp,crimson,Dress,dress,red,MAINSTREAM,0.75,1033.75,335.5,0.3147214781313989,0.0087930081231659,0.1617572431272824,7,disponible,MAINSTREAM,detail,false,0c75eb0b-71dc-43d8-8741-782c0347a7e0,Nivel 1
1193,1194,Ditsy Top floral ,green,Top,top,green,MAINSTREAM,0.1666666666666666,333.6666666666667,113.66666666666669,0.3591103341103341,0.0028381462736925,0.2700422871511737,9,proximamente,MAINSTREAM,application,50,33d45118-f9ff-421d-8eb2-eeb6bb91ddb6,Nivel 2
1198,1199,Dodo Sweater desires ,black,Sweater,sweater,black,MAINSTREAM,0.2,519.2,206.8,0.3949000663067159,0.0044162803555479,0.2425802281310215,8,proximamente,MAINSTREAM,sleeve,false,4efccd5e-15e4-457b-8e1b-055ad9172d69,Nivel 2
1201,1202,Doll Shirt season ,salmon,Shirt,shirt,orange,WHOLE_SALE,3.0,1773.6666666666667,616.0,0.3370696766712006,0.0150866896326854,0.176078183151943,8,proximamente,WHOLE_SALE,application,false,261bc68f-6e7d-478e-b3aa-d4c5dc62cf9e,Nivel 2
1209,1210,Dora Tshirt season ,rust,Tshirt,tshirt,orange,WHOLE_SALE,1.0,2507.0,1210.0,0.4826485839648983,0.0213243737506911,0.2519864788577947,7,disponible,WHOLE_SALE,adventurous,false,ae28adb6-5a19-48e0-b769-b9599077a649,Nivel 2
1210,1211,Doro Dress embroid ,black,Dress,dress,black,NO_MAINSTREAM,3.5,209.0,16.5,0.1428571428571428,0.0017777399736316,0.107587292136265,8,disponible,NO_MAINSTREAM,adventurous,true,2055d2ee-bda9-430c-b292-3b85f09d0086,Nivel 1
1214,1215,Dots Shirt season ,brown,Shirt,shirt,brown,WHOLE_SALE,0.3333333333333333,733.3333333333334,396.0,0.5615079365079364,0.0062376841180056,0.3372259199402694,9,proximamente,WHOLE_SALE,detail,false,02b4e42b-6cbd-4b70-bcdf-7333f9c58746,Nivel 2
1216,1217,Dots Top charlior,black,Top,top,black,WHOLE_SALE,1.0,1737.5,912.5,0.5326399682529184,0.0147790583932292,0.2737095133230738,7,disponible,WHOLE_SALE,application,58,33375812-1eb8-4072-8371-915f7ab6b174,Nivel 2
